City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Barentu,ER,62.71,clear sky,15.1139,37.5928,Family Unite توحيد الأسرة
273,Payo,ID,72.73,overcast clouds,-3.7508,103.6372,
277,Nacozari,MX,63.5,clear sky,25.3366,-108.2574,
281,Daru,PG,84.67,overcast clouds,-9.0763,143.2092,New Century
282,Kathu,TH,80.42,broken clouds,7.9178,98.3332,โรงแรมอาร์ซีบีป่าตอง
283,Pundaguitan,PH,81.03,scattered clouds,6.3711,126.1689,
284,Petatlan,MX,78.6,overcast clouds,17.5167,-101.2667,
285,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Pousada dos Quatro Cantos
286,Bedesa,ET,55.08,scattered clouds,8.9,40.7833,
287,Grand-Santi,GF,70.47,broken clouds,4.25,-54.3833,
288,Dickinson,US,66.31,scattered clouds,29.4608,-95.0513,Days Inn by Wyndham Dickinson TX
289,Matara,LK,71.65,overcast clouds,5.9485,80.5353,Amaloh by Jetwing
290,Grand Gaube,MU,78.39,light rain,-20.0064,57.6608,Hotel Lux- Grand Gaube
292,Pedernales,DO,73.96,clear sky,18.0384,-71.744,Reserve 2015
295,Tigre,AR,80.22,light rain,-34.426,-58.5796,Hotel Villa Julia
296,Ajdabiya,LY,55.11,overcast clouds,30.7554,20.2263,فندق امال ليبيا
299,Longhua,CN,56.48,clear sky,23.6137,114.1919,
302,Mahebourg,MU,78.26,light intensity shower rain,-20.4081,57.7,Preskil Island Resort
306,Aden,YE,75.54,clear sky,12.7794,45.0367,فندق الكورنيش
311,Sao Joao Da Barra,BR,74.82,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
312,Espinosa,BR,66.61,clear sky,-14.9261,-42.8192,
314,Te Anau,NZ,78.17,scattered clouds,-45.4167,167.7167,Lakeside Motels & Apartments
315,Monte Santo,BR,71.76,broken clouds,-10.4378,-39.3328,
317,Poya,NC,82.38,clear sky,-21.35,165.15,
319,Rock Sound,BS,75.31,overcast clouds,24.9,-76.2,Rock Sound Club
320,Oranjestad,AW,78.91,few clouds,12.524,-70.027,Renaissance Aruba Resort & Casino
324,Fuerte Olimpo,PY,76.03,broken clouds,-21.0415,-57.8738,
325,Bengkulu,ID,77.4,overcast clouds,-3.8004,102.2655,Hotel Andalas Permai
330,Chau Doc,VN,72.27,overcast clouds,10.7,105.1167,Hung Cuong Hotel
331,Tonantins,BR,72.25,overcast clouds,-2.8731,-67.8022,Red Davi
332,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Wam Hotel
337,Viedma,AR,71.01,overcast clouds,-40.8135,-62.9967,Hostel EL NOGAL
338,Teshie,GH,80.42,overcast clouds,5.5836,-0.1072,"Ramada Resort, Accra"
341,Umbauba,BR,71.67,clear sky,-11.3833,-37.6578,Hotel California 18
342,Acarau,BR,77.22,overcast clouds,-2.8856,-40.12,
344,Los Llanos De Aridane,ES,58.75,overcast clouds,28.6585,-17.9182,Apartamentos Atlantis
347,Marsa Matruh,EG,56.77,clear sky,31.3525,27.2453,عروس البحر
349,Labuhan,ID,79.68,overcast clouds,-6.8844,112.2051,
351,Filiatra,GR,62.69,clear sky,37.15,21.5833,Hotel Limenari
352,Nouadhibou,MR,62.58,few clouds,20.931,-17.0347,السلام
