City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
49,Vaini,TO,-21.2,-175.2,87.96,74,75,12.66,broken clouds,2023-01-19 02:16:13
50,Cap Malheureux,MU,-19.9842,57.6142,78.48,84,97,5.01,light rain,2023-01-19 02:16:14
51,Kasempa,ZM,-13.4584,25.8338,61.54,99,100,3.65,overcast clouds,2023-01-19 02:16:14
52,Olga,RU,43.7444,135.2892,18.79,74,100,3.78,overcast clouds,2023-01-19 02:16:15
53,Lompoc,US,34.6391,-120.4579,50.77,87,0,5.75,clear sky,2023-01-19 02:16:15
54,Tasiilaq,GL,65.6145,-37.6368,8.76,81,100,4.0,overcast clouds,2023-01-19 02:16:16
55,Saskylakh,RU,71.9167,114.0833,-37.48,100,37,0.63,scattered clouds,2023-01-19 02:16:16
56,Karpathos,GR,35.507,27.2132,62.56,72,46,16.11,scattered clouds,2023-01-19 02:16:16
57,Bredasdorp,ZA,-34.5322,20.0403,67.32,86,6,5.66,clear sky,2023-01-19 02:16:17
58,Qui Nhon,VN,13.7667,109.2333,70.93,83,100,17.58,overcast clouds,2023-01-19 02:16:17
59,Maniitsoq,GL,65.4167,-52.9,14.27,54,100,6.31,overcast clouds,2023-01-19 02:16:18
60,Dikson,RU,73.5069,80.5464,-21.77,82,100,5.41,overcast clouds,2023-01-19 02:16:18
61,Jamestown,US,42.097,-79.2353,35.24,72,100,4.61,overcast clouds,2023-01-19 02:15:20
62,Krasnogvardeyets,RU,52.6804,52.3635,-1.55,86,2,4.23,clear sky,2023-01-19 02:16:18
63,Hay River,CA,60.8156,-115.7999,12.18,85,75,2.3,mist,2023-01-19 02:16:19
64,Wawa,NG,9.9022,4.4192,75.45,26,0,7.49,clear sky,2023-01-19 02:15:22
65,Cervo,ES,43.6702,-7.4101,47.62,70,97,12.66,overcast clouds,2023-01-19 02:16:19
66,Wajir,KE,1.7471,40.0573,72.41,68,99,12.68,overcast clouds,2023-01-19 02:16:19
67,Kalmunai,LK,7.4167,81.8167,75.42,69,11,7.47,few clouds,2023-01-19 02:16:20
68,Zhigansk,RU,66.7697,123.3711,-48.95,95,85,11.97,overcast clouds,2023-01-19 02:16:20
69,Port Alfred,ZA,-33.5906,26.891,72.18,90,93,7.4,overcast clouds,2023-01-19 02:16:21
70,Mangit,UZ,40.5971,70.9607,22.06,64,95,3.83,overcast clouds,2023-01-19 02:16:21
71,Kruisfontein,ZA,-34.0033,24.7314,71.89,77,56,10.89,broken clouds,2023-01-19 02:16:21
72,Buenos Aires,AR,-34.6132,-58.3772,79.95,78,0,14.97,clear sky,2023-01-19 02:16:02
73,Shushtar,IR,32.0455,48.8567,52.25,76,0,2.26,clear sky,2023-01-19 02:16:22
